Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID52098628,23-Dec-16,9360-2827-9359-7064,33650,SEG18
CTID87849455,28-Mar-16,9497-8994-1281-9719,4689,SEG14
CTID86216889,25-Jan-16,6479-5593-2105-9060,33832,SEG22
CTID83836899,13-Dec-16,6617-5782-1394-1632,39090,SEG20
CTID89058079,28-Apr-16,9304-4488-7872-2868,49684,SEG21
CTID48409781,1-Nov-16,8590-6850-6104-5846,35055,SEG11
CTID33400257,21-Nov-16,9999-3058-2698-4238,10262,SEG24
CTID60575167,18-Jun-16,9386-8854-6115-4075,45760,SEG23
CTID44428188,30-Sep-16,4864-7119-5608-7611,41612,SEG15
CTID68392994,17-Jun-16,3146-4961-6964-4229,507,SEG12
CTID75838907,22-Jun-16,5786-9833-8038-2159,10327,SEG20
CTID60525587,8-Apr-16,5984-2442-3351-3695,18773,SEG20
CTID24709084,9-May-16,3762-3694-9841-5446,4304,SEG12
CTID73162129,23-Oct-16,8769-1185-5731-6569,45823,SEG22
CTID26405302,3-Apr-16,7908-2695-7391-7499,45905,SEG17
CTID52808932,14-May-16,2017-7197-7814-9950,41351,SEG23
CTID69471670,1-Mar-16,9162-3465-6654-4891,19719,SEG15
CTID70578154,26-Jun-16,4959-5036-1379-1303,16130,SEG12
CTID54279194,17-May-16,5144-5591-4640-2208,23720,SEG19
CTID95934513,12-Jul-16,1817-8543-9660-4802,4495,SEG22
CTID17049229,7-Oct-16,4375-1627-3683-5900,40202,SEG13
CTID79239882,28-Feb-16,4427-5380-8182-9668,22896,SEG24
CTID33493169,1-Dec-16,7665-2468-6158-3511,30755,SEG21
CTID97696239,27-Sep-16,8287-3054-9804-9342,9931,SEG14
CTID86961382,28-May-16,3170-4662-9297-6384,17600,SEG17
CTID55357926,20-Sep-16,2349-2290-6329-3624,31769,SEG18
CTID62604776,2-Mar-16,8794-7936-2566-9238,35835,SEG24
CTID47947765,4-Dec-16,7908-3850-6633-2606,7346,SEG15
CTID88072703,7-Mar-16,7697-2274-6431-6408,8606,SEG14
CTID99685220,4-Sep-16,3467-4873-4196-4795,8502,SEG25
CTID18009165,2-Jun-16,2271-9253-1553-2843,4628,SEG17
CTID81691498,28-Apr-16,7334-1842-5941-2149,23952,SEG23
CTID98602355,29-Sep-16,7697-2274-6431-6408,43623,SEG14
CTID12184125,20-Feb-16,2161-8530-5218-6803,12945,SEG12
CTID35960033,16-Oct-16,4093-1634-8086-4601,45363,SEG12
CTID39919905,3-Apr-16,8159-1257-4706-7544,49059,SEG18
CTID76482100,6-Jan-16,3114-9778-2542-3154,4500,SEG13
CTID80931849,29-May-16,6570-8163-4369-9734,5676,SEG11
CTID16315531,28-Nov-16,4679-5406-6408-1233,18286,SEG16
CTID58334877,5-Mar-16,3134-9713-5764-8285,41754,SEG23
CTID81541789,30-Jun-16,8685-1513-4751-8018,34434,SEG18
CTID17938926,21-May-16,7726-3678-8092-6414,29819,SEG12
CTID44457434,26-Jun-16,7326-9558-4788-5128,43322,SEG14
CTID33937528,30-Jul-16,7767-7920-7733-4210,20824,SEG14
CTID55895727,5-Feb-16,2711-5438-4449-9824,5583,SEG20
CTID85551417,27-Oct-16,8904-2491-3727-6958,24338,SEG22
CTID85252404,15-Dec-16,9999-3058-2698-4238,19726,SEG23
CTID53916321,25-Feb-16,4864-7119-5608-7611,12540,SEG22
CTID50021854,28-Jun-16,9376-8684-9599-2988,33137,SEG22
CTID97617799,14-Oct-16,6286-3397-5051-8445,26399,SEG25
CTID23363107,10-Jul-16,6071-3874-2856-8755,22772,SEG25
CTID48334780,23-Jun-16,7558-5459-8235-5737,10303,SEG19
CTID53134532,28-Dec-16,7306-7457-8875-3211,30251,SEG20
CTID70188260,30-Oct-16,6171-3568-7740-8072,11822,SEG18
CTID69858966,23-Sep-16,1750-2387-4085-7042,16041,SEG11
CTID27384416,1-Mar-16,5587-7265-8118-7718,12126,SEG23
CTID22489094,13-Aug-16,8870-2780-7399-5151,680,SEG14
CTID99140238,22-Oct-16,3158-1638-7701-9309,27224,SEG14
CTID34165337,27-Dec-16,7633-7985-2079-2990,21016,SEG12
CTID18933821,20-Dec-16,6415-7043-2998-3377,24546,SEG20
CTID63153107,13-Jul-16,6492-5655-8241-3530,10216,SEG20
CTID32051399,7-May-16,6286-3397-5051-8445,16235,SEG22
CTID26460649,16-Aug-16,5894-8042-7318-9450,29235,SEG22
CTID55161805,1-Jul-16,3440-1978-8156-5313,46361,SEG19
CTID78032595,30-Jun-16,7697-2274-6431-6408,16222,SEG20
CTID77469173,31-Oct-16,8217-2336-2393-6960,7463,SEG23
CTID79010510,13-Nov-16,9933-8699-5268-4345,24560,SEG23
CTID60538685,20-Feb-16,3359-9828-1991-2013,37671,SEG15
CTID23954117,11-Feb-16,5251-7364-6702-5590,2764,SEG18
CTID50882946,8-Mar-16,6547-1222-2350-2503,7524,SEG12
CTID30751719,11-Oct-16,5160-8427-6529-3274,35086,SEG14
CTID64462739,19-Feb-16,4708-4407-9601-6022,26512,SEG20
CTID60652747,17-Dec-16,6272-7021-2748-1471,12003,SEG11
CTID80450276,9-Sep-16,5778-9566-9086-7555,33199,SEG14
CTID26269004,30-Jun-16,5616-5526-4836-1962,3207,SEG12
CTID95984612,11-May-16,3467-4873-4196-4795,6707,SEG25
CTID53956535,18-Oct-16,3620-5235-2101-3391,45172,SEG17
CTID65531998,12-Nov-16,9999-3058-2698-4238,28273,SEG21
CTID57447583,9-Aug-16,4971-8219-1133-6753,27125,SEG15
CTID84757792,24-Oct-16,5533-2042-7236-9790,25812,SEG14
CTID58199276,5-Feb-16,1438-6906-2509-8219,22484,SEG24
CTID29793745,10-Aug-16,2088-6665-3327-6898,28190,SEG17
CTID38608594,7-Nov-16,2088-6665-3327-6898,3907,SEG13
CTID55251400,8-Aug-16,6574-5513-6101-1905,18788,SEG14
CTID65297292,12-Nov-16,9627-1907-4419-6606,9684,SEG15
CTID75003456,10-Sep-16,9497-8994-1281-9719,42015,SEG18
CTID34327340,25-Nov-16,4610-9984-7768-4610,4480,SEG17
CTID86475887,4-Jul-16,8408-7680-2338-9105,5746,SEG14
CTID98865522,18-Nov-16,8870-2780-7399-5151,28249,SEG23
CTID63989442,23-Aug-16,9930-4634-8565-6716,22904,SEG19
CTID27291595,2-Mar-16,1127-9633-2269-3119,22796,SEG13
CTID15603179,2-Jan-16,4963-4850-8565-5494,2436,SEG24
CTID76134571,24-Aug-16,5574-7647-1844-5316,21031,SEG11
CTID77023817,17-Apr-16,7658-7645-4568-1461,23886,SEG24
CTID53629961,12-May-16,5982-5047-2653-9052,6799,SEG14
CTID98403292,23-Aug-16,6540-2862-2962-5109,32826,SEG25
CTID42240275,31-Aug-16,4646-8260-8197-7078,34040,SEG20
CTID60157905,2-Apr-16,4448-9587-7180-9589,14323,SEG13
CTID31018265,12-Dec-16,6197-7150-9163-8287,21194,SEG12
CTID44287212,12-Jul-16,3140-6494-9869-5893,44831,SEG18
CTID85666379,18-Apr-16,4203-2936-4855-8802,1149,SEG13
CTID41996680,17-Feb-16,5811-4353-3490-5513,6126,SEG17
CTID63401869,6-Feb-16,7199-4140-9327-8875,8064,SEG20
CTID99073814,23-Aug-16,6570-8163-4369-9734,24220,SEG13
CTID45503560,15-Apr-16,8462-5562-6993-2745,16640,SEG20
CTID77478150,15-Apr-16,5616-5526-4836-1962,34752,SEG20
CTID86048024,28-Feb-16,3925-8607-7303-7699,21339,SEG24
CTID76151825,27-Aug-16,8836-7078-5752-6312,1897,SEG17
CTID17222326,16-Aug-16,9558-5469-2562-5608,29294,SEG14
CTID79777989,25-Sep-16,9304-8255-4381-2028,19742,SEG15
CTID94482898,8-Jan-16,4679-8417-8700-1213,48109,SEG13
CTID83405088,2-Dec-16,9546-5205-4705-9447,23488,SEG20
CTID85125546,25-May-16,2570-5181-2062-7588,36409,SEG14
CTID37052029,21-Jun-16,5481-9525-6488-7566,20976,SEG15
CTID93580146,2-Mar-16,8499-3007-6025-2772,4417,SEG11
CTID45028255,7-Feb-16,4012-7774-6690-7055,8344,SEG12
CTID31333724,7-Feb-16,3359-9828-1991-2013,18857,SEG25
CTID34995390,27-Nov-16,6697-9358-9213-4896,29992,SEG20
CTID56389648,5-Aug-16,9930-4634-8565-6716,38707,SEG25
CTID64348468,31-Oct-16,7662-3108-4951-8587,8988,SEG24
CTID54820733,11-Dec-16,9157-2802-8374-1145,4346,SEG19
CTID88716951,22-Sep-16,2595-7800-1142-5225,618,SEG11
CTID68239249,12-May-16,7725-3576-5626-3317,39117,SEG22
CTID18307071,20-Nov-16,5145-7864-6575-8768,44587,SEG25
CTID62664221,5-Jun-16,4375-1627-3683-5900,731,SEG16
CTID55106143,6-May-16,8321-8463-7644-8934,15303,SEG20
CTID72095886,30-Mar-16,1683-2865-3396-4925,42262,SEG16
CTID97537417,10-Nov-16,1765-4019-5141-9230,26758,SEG12
CTID98809794,15-Aug-16,5731-9804-7859-1641,21334,SEG20
CTID17389826,7-Jun-16,4448-9587-7180-9589,42360,SEG16
CTID13114542,20-Mar-16,8673-7935-5776-9119,36280,SEG13
CTID35253496,26-Dec-16,9446-5484-2517-1811,24516,SEG17
CTID93748150,21-Jun-16,8231-5519-1948-3400,38852,SEG16
CTID97446563,14-Feb-16,3922-3698-6304-1975,34348,SEG23
CTID33516601,21-Feb-16,7017-9570-4103-5076,18468,SEG14
CTID98030472,26-Jul-16,9376-8684-9599-2988,2552,SEG23
CTID91678346,16-Feb-16,7047-9622-9693-9968,25611,SEG18
CTID50107842,9-Sep-16,7276-7349-6334-3809,14948,SEG14
CTID29603307,12-Oct-16,6515-8771-7352-9788,41412,SEG24
CTID42278985,19-Jul-16,6514-4444-5642-2615,8729,SEG16
CTID72484923,10-Jan-16,2595-8621-2855-9119,13270,SEG11
CTID25730089,2-Mar-16,5814-6146-3149-1775,5199,SEG23
CTID67944160,11-Feb-16,9458-1130-5333-6475,39768,SEG18
CTID81678054,22-Dec-16,5786-2204-6101-1373,22242,SEG22
CTID89523324,12-Dec-16,2535-9251-5633-3656,3053,SEG24
CTID22713607,29-Oct-16,9627-1907-4419-6606,7459,SEG14
CTID50250908,3-Nov-16,2388-1652-4326-6035,14953,SEG15
CTID67938733,17-Mar-16,9386-8854-6115-4075,33527,SEG17
CTID48708913,18-May-16,1992-1719-3506-9652,30668,SEG20
CTID74043330,21-Apr-16,8249-2687-5339-2078,22490,SEG21
CTID98601829,16-Feb-16,8477-4051-5606-6540,30192,SEG13
CTID17530884,9-Feb-16,1846-7945-5251-4091,15120,SEG11
CTID91247274,10-Aug-16,5864-4475-3659-1440,29504,SEG21
CTID75134314,7-Feb-16,7815-5255-1963-9464,9030,SEG20
CTID15886880,11-Jun-16,7334-1842-5941-2149,46811,SEG12
CTID98762031,30-Mar-16,5591-5619-8809-5454,47263,SEG15
CTID53737262,9-Dec-16,7708-8807-7837-8812,34626,SEG15
CTID68984386,17-May-16,2964-4590-9510-4405,2398,SEG16
CTID68069163,19-Oct-16,8869-7604-9618-3740,2889,SEG18
CTID31200944,9-Jun-16,4491-2026-2441-2049,10251,SEG22
CTID74380939,24-Nov-16,4661-5769-5059-2114,25260,SEG11
CTID22306254,1-Mar-16,1290-5480-3763-3387,33741,SEG18
CTID41749873,17-Jun-16,5175-8965-9249-9021,2937,SEG13
CTID32548940,5-Sep-16,3544-7836-9589-7635,35016,SEG24
CTID32116221,4-Sep-16,2595-7800-1142-5225,33436,SEG25
CTID28298208,21-Apr-16,2893-7786-7528-2338,10358,SEG21
CTID96247910,28-Jan-16,5993-5660-3442-6277,48561,SEG11
CTID92415561,11-Mar-16,1750-2387-4085-7042,37695,SEG15
CTID32149680,30-Dec-16,5092-6820-3830-6560,44588,SEG23
CTID38141368,24-Feb-16,6321-2048-7733-8765,10339,SEG25
CTID32265358,8-Nov-16,7726-3678-8092-6414,31654,SEG20
CTID59227999,10-Dec-16,6785-6309-6247-3002,8862,SEG17
CTID48466977,26-Jun-16,7815-5255-1963-9464,17798,SEG20
CTID53299611,19-Jun-16,6292-8171-2649-5336,28695,SEG15
CTID90219711,8-Feb-16,5274-7205-2377-3357,17126,SEG17
CTID84455457,13-Apr-16,2944-6929-3608-9991,48382,SEG22
CTID97791019,29-Jul-16,4783-2852-8264-4966,3586,SEG25
CTID37597258,27-Oct-16,2017-7197-7814-9950,36657,SEG15
CTID78778271,7-Mar-16,5206-5979-9383-4538,26397,SEG19
CTID20651030,4-Oct-16,4314-6417-5269-5130,47703,SEG22
CTID46211963,2-Sep-16,5563-4162-6828-9835,21282,SEG23
CTID47747093,18-Mar-16,4314-6417-5269-5130,4805,SEG24
CTID28207227,2-Jul-16,4294-8894-4829-7801,30458,SEG22
CTID61289449,23-Dec-16,2088-6665-3327-6898,9706,SEG17
CTID49970866,3-Feb-16,4663-3168-7059-6778,45657,SEG21
CTID25603938,31-Aug-16,1992-1719-3506-9652,23281,SEG24
CTID37199141,12-Dec-16,9132-7052-6630-5540,46141,SEG20
CTID92511584,9-Feb-16,2854-6117-5924-2770,6195,SEG18
CTID42853588,4-Nov-16,9248-9032-8076-1225,39295,SEG12
CTID12661965,23-Jan-16,5530-1215-6434-9691,14527,SEG20
CTID53854325,3-Apr-16,2568-8047-9427-1704,23486,SEG23
CTID22053493,6-Jun-16,7665-2468-6158-3511,1056,SEG23
CTID52263447,4-Jun-16,7908-2695-7391-7499,24849,SEG21
CTID30947000,30-Oct-16,3748-8048-5227-8162,30250,SEG14
CTID45609718,25-Jun-16,6691-5105-1556-4131,12263,SEG13
CTID68061866,30-May-16,8883-9569-6241-3952,33576,SEG19
CTID98306712,14-Sep-16,4294-8894-4829-7801,33317,SEG19
CTID22423362,28-Apr-16,9446-5484-2517-1811,25542,SEG22
CTID75928084,17-Mar-16,8839-9467-3960-3997,43158,SEG14
CTID54417783,26-Apr-16,2830-1922-3225-5423,748,SEG14
CTID92753114,19-Jul-16,2711-5438-4449-9824,32704,SEG22
CTID13209414,8-Apr-16,4203-2936-4855-8802,42764,SEG25
CTID60257797,11-Apr-16,5583-9751-6086-5673,9664,SEG23
CTID94621822,22-Nov-16,3922-3698-6304-1975,8752,SEG12
CTID28372879,11-Sep-16,6015-9255-9994-6771,37115,SEG12
CTID19537981,10-Aug-16,7224-9964-4793-3939,42246,SEG23
CTID92051877,20-Feb-16,7966-2894-6066-2530,5984,SEG23
CTID50748371,4-Sep-16,9558-5469-2562-5608,47231,SEG24
CTID97347815,30-Aug-16,5957-5032-1448-8189,29108,SEG25
CTID29450634,21-Apr-16,6994-7925-9044-3458,7668,SEG19
CTID67315738,6-Dec-16,8002-6041-9878-5658,21388,SEG17
CTID68343288,28-Jun-16,1350-6303-6190-5958,17080,SEG20
CTID25962688,18-Aug-16,1466-1600-9312-7604,45807,SEG20
CTID82617000,24-May-16,5689-2440-9593-1931,16870,SEG13
CTID85968797,16-Sep-16,2347-2804-9899-1830,26263,SEG15
CTID48314918,10-Aug-16,1608-1970-3705-7137,24790,SEG17
CTID59101774,30-Sep-16,8467-5358-5569-3718,31451,SEG25
CTID53350920,3-May-16,3295-6390-4452-7199,10234,SEG12
CTID72978267,20-May-16,6531-1690-4324-2760,38185,SEG11
CTID43993896,25-Sep-16,7815-7711-6866-1320,25953,SEG19
CTID32883588,28-Mar-16,9248-9032-8076-1225,1054,SEG20
CTID16038968,25-Mar-16,4933-8895-6001-8577,14913,SEG11
CTID24116514,17-Jul-16,8002-6041-9878-5658,11267,SEG25
CTID92836860,9-Jun-16,9753-7718-2196-1448,12940,SEG19
CTID13830106,5-Sep-16,4818-7275-3513-3939,11297,SEG11
CTID16750053,22-Oct-16,5786-2204-6101-1373,21147,SEG22
CTID75083224,4-Apr-16,5786-9833-8038-2159,12401,SEG18
CTID85528573,6-Jun-16,4819-6940-5506-8061,41124,SEG17
CTID69979390,6-Jun-16,9497-8994-1281-9719,14587,SEG19
CTID92806149,30-Jul-16,2949-1972-1300-6680,46914,SEG25
CTID37736536,23-Mar-16,8486-4186-7122-3452,1307,SEG12
CTID59162759,27-Sep-16,8691-3939-1859-5937,5873,SEG11
CTID37558222,19-Aug-16,3134-9713-5764-8285,18729,SEG11
CTID90264795,7-Jun-16,6262-7793-5307-8561,21022,SEG16
CTID57863703,28-Jul-16,1464-1118-5953-6424,9180,SEG14
CTID89466820,13-Oct-16,9356-9491-6534-8313,14089,SEG11
CTID87649526,18-Nov-16,9991-4727-7710-2269,46947,SEG18
CTID11997601,2-Jan-16,2711-5438-4449-9824,31360,SEG23
CTID35912067,2-Apr-16,3439-5404-2739-7517,18816,SEG22
CTID18335218,2-Jul-16,1716-8420-2111-4735,16878,SEG24
CTID31694272,15-Dec-16,8135-1903-7706-2260,20971,SEG21
CTID58608012,22-Jul-16,6071-3874-2856-8755,31786,SEG25
CTID57057941,1-Sep-16,4220-2591-3295-3300,27614,SEG19
CTID21810890,20-Apr-16,9446-5484-2517-1811,7690,SEG16
CTID92163050,17-Apr-16,7179-9253-8424-9313,26198,SEG15
CTID91345951,16-Feb-16,5936-1967-4966-6077,28124,SEG14
CTID11744041,18-May-16,9753-7718-2196-1448,5614,SEG13
CTID46513534,23-Sep-16,3168-6552-9936-1500,3428,SEG19
CTID67872018,7-Dec-16,4420-9925-9792-9113,6459,SEG23
CTID26861246,23-Dec-16,7633-7985-2079-2990,38336,SEG15
CTID65247747,7-Apr-16,6228-9033-3508-8121,16424,SEG23
CTID29670846,16-May-16,8839-9467-3960-3997,38511,SEG12
CTID52650122,15-Sep-16,5530-1215-6434-9691,43939,SEG11
CTID33082954,16-Mar-16,5018-8635-8433-6614,26735,SEG11
CTID69012200,24-Jul-16,5380-2273-3524-9795,33725,SEG11
CTID17309922,18-Apr-16,8614-1547-9524-8444,15960,SEG14
CTID28063377,4-Jan-16,2056-7091-8023-1914,1333,SEG11
CTID82326934,28-Aug-16,4220-2591-3295-3300,17386,SEG18
CTID74212120,9-Aug-16,8115-7743-6213-9284,16411,SEG13
CTID28466559,17-Apr-16,3168-6552-9936-1500,24455,SEG19
CTID46089214,30-Dec-16,3925-8607-7303-7699,19653,SEG21
CTID14753591,22-Jan-16,5251-7364-6702-5590,24401,SEG13
CTID65352552,29-Nov-16,3167-9604-1650-2605,40819,SEG11
CTID49258888,15-Aug-16,3458-8126-3660-8686,4152,SEG24
CTID44451662,14-Oct-16,1159-7886-1385-5540,39521,SEG13
CTID95859840,24-Dec-16,4856-2191-9879-6388,34214,SEG21
CTID58874971,19-Nov-16,7908-2695-7391-7499,1720,SEG17
CTID39956318,12-Sep-16,8839-9467-3960-3997,7138,SEG19
CTID66713186,14-Oct-16,9425-1481-6545-6190,30142,SEG21
CTID86724891,27-Nov-16,7326-9558-4788-5128,42458,SEG13
CTID91432708,23-Jun-16,4144-3271-6301-9342,42501,SEG12
CTID94850969,13-Oct-16,1113-9175-3253-8426,47050,SEG25
CTID19258204,2-May-16,7583-5046-7750-5578,3126,SEG21
CTID59321442,25-Jan-16,8078-7413-3861-2246,41619,SEG17
CTID56617617,22-Sep-16,4375-1627-3683-5900,1376,SEG20
CTID56955156,8-Dec-16,5811-4353-3490-5513,32930,SEG19
CTID46612558,25-May-16,4663-3168-7059-6778,31256,SEG17
CTID86685468,26-Aug-16,4203-2936-4855-8802,7766,SEG19
CTID21210769,12-Mar-16,3359-9828-1991-2013,48588,SEG12
CTID29009022,3-Dec-16,7658-7645-4568-1461,1776,SEG14
CTID65437926,21-Oct-16,4341-6411-1439-6094,15021,SEG15
CTID21821864,8-Jun-16,8376-2481-1705-6329,30379,SEG11
CTID45015983,22-Oct-16,4646-8260-8197-7078,35225,SEG14
CTID27372211,15-Dec-16,4973-1293-1664-2086,22998,SEG15
CTID23861177,24-Sep-16,6272-7021-2748-1471,2380,SEG21
CTID78364325,7-Nov-16,5747-7372-2770-2325,10187,SEG15
CTID16380120,18-Oct-16,2370-4593-4826-2349,36416,SEG21
CTID13295210,24-Feb-16,4427-5380-8182-9668,19424,SEG14
CTID12142512,19-Jan-16,1992-1719-3506-9652,28932,SEG22
CTID99111540,4-Aug-16,7662-3108-4951-8587,13774,SEG11
CTID59220244,10-Mar-16,4856-2191-9879-6388,20176,SEG17
CTID71370828,2-Apr-16,4203-2936-4855-8802,32047,SEG25
CTID27945536,12-Mar-16,1466-1600-9312-7604,39957,SEG18
CTID55967480,23-Jan-16,6492-5655-8241-3530,35556,SEG23
CTID35779781,22-Sep-16,6012-7799-2842-7221,11212,SEG13
CTID13192100,22-Feb-16,2088-6665-3327-6898,31734,SEG22
CTID21162689,26-Jun-16,4530-1687-6778-1250,35870,SEG12
CTID23389366,4-Mar-16,5695-2379-4433-2485,11474,SEG13
CTID24326220,21-May-16,8711-5325-4752-4743,31419,SEG16
CTID42386185,29-Jan-16,9621-6787-7890-7470,21039,SEG25
CTID17104078,16-Jun-16,6815-5139-5546-1802,26387,SEG25
CTID87916280,5-Mar-16,2495-1344-4998-6045,37802,SEG20
CTID13198306,11-Nov-16,5674-3252-5805-3288,13840,SEG24
CTID61943681,27-Jan-16,7224-9964-4793-3939,11947,SEG16
CTID19014786,18-Nov-16,3362-7342-4639-8164,12885,SEG20
CTID18244922,6-Apr-16,6319-3749-2944-6015,20157,SEG12
CTID14870783,23-Jun-16,5092-6820-3830-6560,28678,SEG23
CTID78309907,6-May-16,4138-5166-7490-1188,31465,SEG17
CTID48997219,24-Jun-16,8217-2336-2393-6960,33868,SEG19
CTID94273620,27-May-16,1259-5241-3561-1773,41799,SEG19
CTID55326629,26-Sep-16,8135-1903-7706-2260,40204,SEG16
CTID94528428,5-Dec-16,5786-9833-8038-2159,37898,SEG15
CTID60861134,23-Nov-16,4093-1634-8086-4601,48856,SEG14
CTID67799107,6-Jul-16,5731-9804-7859-1641,32725,SEG11
CTID96361420,14-Sep-16,3969-9181-6385-4422,29422,SEG24
CTID61007551,29-Feb-16,5283-6135-5709-4452,12378,SEG13
CTID14219148,1-Jun-16,4448-9587-7180-9589,19427,SEG16
CTID19544937,26-Jun-16,4770-7274-9917-1594,11534,SEG12
CTID16189898,17-Dec-16,4770-7274-9917-1594,34951,SEG15
CTID27761007,19-Jun-16,2349-2290-6329-3624,17070,SEG13
CTID50542373,14-May-16,3439-5404-2739-7517,14084,SEG24
CTID35423484,1-Feb-16,5005-7427-6443-4284,14040,SEG16
CTID47704901,25-Dec-16,3467-3224-2464-5799,27130,SEG22
CTID34352729,5-Dec-16,8691-3939-1859-5937,1550,SEG22
CTID36800291,8-Aug-16,1817-8543-9660-4802,35423,SEG15
CTID35919685,2-Aug-16,4856-2191-9879-6388,2915,SEG19
CTID86224345,30-Jul-16,6547-1222-2350-2503,35667,SEG14
CTID40606939,3-May-16,7017-9570-4103-5076,34096,SEG23
CTID62515614,10-Mar-16,7729-4037-1361-9467,29501,SEG24
CTID16338228,24-Sep-16,5591-5619-8809-5454,42545,SEG23
CTID55725299,24-May-16,4864-7119-5608-7611,37707,SEG15
CTID81193414,24-Jan-16,7430-6895-6227-4665,22123,SEG17
CTID51194299,6-Apr-16,5616-5526-4836-1962,40050,SEG21
CTID86620514,3-Nov-16,6385-4594-8055-9081,14849,SEG22
CTID52638832,21-Oct-16,7199-4140-9327-8875,21256,SEG22
CTID47066433,16-Aug-16,6148-9835-7115-4405,21784,SEG22
CTID18604681,14-Nov-16,6239-8641-8524-9441,29943,SEG16
CTID38678164,3-Dec-16,5960-5753-3689-8262,1572,SEG11
CTID84694361,25-Jul-16,3295-6390-4452-7199,43171,SEG22
CTID51718708,31-Oct-16,1992-1719-3506-9652,32319,SEG12
CTID68800017,25-Feb-16,3439-5404-2739-7517,8269,SEG19
CTID82205827,2-Nov-16,2595-7800-1142-5225,3107,SEG18
CTID73781719,19-Mar-16,7633-7985-2079-2990,17558,SEG24
CTID25518088,5-Mar-16,3708-8801-1521-8042,29004,SEG16
CTID66225604,10-May-16,7767-7920-7733-4210,12551,SEG18
CTID95759260,10-Apr-16,8673-7935-5776-9119,31808,SEG12
CTID72213278,11-Mar-16,7290-4771-9163-1291,37588,SEG25
CTID52197433,11-Jun-16,6197-7150-9163-8287,20559,SEG21
CTID98025119,14-Feb-16,9458-1130-5333-6475,33256,SEG19
CTID18118956,29-Oct-16,6321-2048-7733-8765,41774,SEG18
CTID27901491,8-Aug-16,5982-5047-2653-9052,19046,SEG15
CTID42648430,27-Dec-16,9369-6196-2597-1730,34531,SEG20
CTID42828181,10-Dec-16,4933-8895-6001-8577,31794,SEG24
CTID40269289,14-Mar-16,1481-2536-2178-7547,30573,SEG22
CTID79444561,17-Jul-16,5936-1967-4966-6077,23086,SEG16
CTID72225485,15-Nov-16,3440-1978-8156-5313,29797,SEG17
CTID38539077,22-Jan-16,4246-1369-3659-8804,18103,SEG21
CTID46452853,21-Jun-16,5618-9718-9367-2102,32286,SEG11
CTID73850730,21-Sep-16,3430-7717-8611-4878,20842,SEG16
CTID77728116,13-Apr-16,2724-3903-7331-7820,37427,SEG11
CTID33280498,24-Jul-16,5384-8278-5616-5502,39506,SEG11
CTID95905117,24-Dec-16,7047-9622-9693-9968,5995,SEG11
CTID49693247,22-Mar-16,7224-9964-4793-3939,36540,SEG22
CTID81645152,18-Nov-16,4046-1968-8375-3680,8347,SEG23
CTID49207483,31-Dec-16,8088-9431-7201-2877,30053,SEG20
CTID88941255,22-Oct-16,4679-8417-8700-1213,45949,SEG14
CTID29234060,7-Nov-16,1683-2865-3396-4925,14713,SEG25
CTID14783012,21-Sep-16,1661-3809-5334-2155,35287,SEG19
CTID14450253,25-Nov-16,3970-3872-2591-7629,36786,SEG25
CTID11387744,17-Jun-16,1909-6288-2284-5317,7932,SEG15
CTID98513699,8-Dec-16,7224-9964-4793-3939,30999,SEG19
CTID75487399,17-Jul-16,9621-6787-7890-7470,19385,SEG12
CTID12815026,6-Nov-16,4834-4297-3113-9327,38502,SEG20
CTID11117061,24-Mar-16,3544-7836-9589-7635,49253,SEG17
CTID84660090,7-May-16,3114-9778-2542-3154,4561,SEG22
CTID13742518,2-Sep-16,4349-5976-1214-5524,14029,SEG15
CTID28037060,10-Nov-16,4037-7862-8119-1361,33892,SEG20
CTID27638205,17-Jul-16,5695-2379-4433-2485,10755,SEG21
CTID28955879,2-Aug-16,8481-9097-2828-9363,43297,SEG16
CTID35054095,3-Feb-16,3969-9181-6385-4422,5661,SEG12
CTID80927054,18-May-16,5587-7265-8118-7718,6802,SEG17
CTID89722324,21-Apr-16,6228-9033-3508-8121,37751,SEG16
CTID32664402,22-Nov-16,3467-3224-2464-5799,11269,SEG14
CTID66163860,4-Aug-16,9314-8332-5195-8287,44925,SEG19
CTID65668035,8-May-16,1716-8420-2111-4735,13799,SEG23
CTID83678897,25-Dec-16,2568-8047-9427-1704,23475,SEG21
CTID43544812,23-Jun-16,6399-9536-6027-1857,35802,SEG18
CTID89980496,21-Jun-16,9018-5320-5729-5393,41156,SEG14
CTID74955300,26-Oct-16,8883-9569-6241-3952,17504,SEG20
CTID40266397,18-Dec-16,5129-6974-6371-2964,11481,SEG12
CTID82811590,25-Jun-16,6994-7925-9044-3458,7484,SEG23
CTID43561233,29-May-16,8850-8297-4094-3048,15854,SEG14
CTID49774542,25-Jul-16,4770-7274-9917-1594,29806,SEG18
CTID33771832,25-Jul-16,5556-4557-4566-1540,12820,SEG25
CTID16368281,28-Oct-16,4971-8219-1133-6753,10105,SEG16
CTID34349926,22-May-16,6071-3874-2856-8755,47609,SEG22
CTID51765032,22-Jan-16,1825-7669-6621-9045,40555,SEG25
CTID64579962,16-Jul-16,8231-5519-1948-3400,41270,SEG25
CTID99133259,3-Jul-16,7662-3108-4951-8587,2882,SEG15
CTID48746269,2-Mar-16,1909-6288-2284-5317,14637,SEG19
